klep_A#_hard.wav, 10;
klep_D#_hard.wav, 3;
klep_E_hard.wav, 4;
klep_E_hard2.wav, 4;
klep_E_hard3.wav, 4;
klep_E_hard4.wav, 4;
klep_F_hard.wav, 5;
klep_F_hard2.wav, 5;
klep_F_hard3.wav, 5;
klep_F#_hard.wav, 6;
klep_F#_hard2.wav, 6;
A1_Staccato_mf.wav, 9;
A2_Staccato_f.wav, 9;
A2_Staccato_mf.wav, 9;
A3_Staccato_f.wav, 9;
A3_Staccato_mf.wav, 9;
A4_Staccato_f.wav, 9;
A4_Staccato_mf.wav, 9;
A5_Staccato_f.wav, 9;
A5_Staccato_mf.wav, 9;
A6_Staccato_f.wav, 9;
A6_Staccato_mf.wav, 9;
B1_Staccato_f.wav, 11;
B1_Staccato_mf.wav, 11;
B2_Staccato_f.wav, 11;
B3_Staccato_f.wav, 11;
B3_Staccato_mf.wav, 11;
B4_Staccato_f.wav, 11;
B4_Staccato_mf.wav, 11;
B5_Staccato_f.wav, 11;
B5_Staccato_mf.wav, 11;
C1_Staccato_f.wav, 0;
C1_Staccato_mf.wav, 0;
C3_Staccato_f.wav, 0;
C3_Staccato_mf.wav, 0;
C4_Staccato_f.wav, 0;
C4_Staccato_mf.wav, 0;
C5_Staccato_f.wav, 0;
C5_Staccato_mf.wav, 0;
C6_Staccato_f.wav, 0;
C6_Staccato_mf.wav, 0;
D1_Staccato_f.wav, 2;
D1_Staccato_mf.wav, 2;
D2_Staccato_f.wav, 2;
D2_Staccato_mf.wav, 2;
D3_Staccato_f.wav, 2;
D3_Staccato_mf.wav, 2;
D5_Staccato_f.wav, 2;
D6_Staccato_f.wav, 2;
D6_Staccato_mf.wav, 2;
E0_Staccato_f.wav, 4;
E0_Staccato_mf.wav, 4;
